scene,variant,model_path,config,seed,start_time,end_time,duration_seconds,peak_gpu_mem_mb,exit_code
mic,baseline,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_baseline_seed0,configs\mic_step5_baseline_seed0.json,0,2026-06-13T14:51:38.073968+08:00,2026-06-13T15:10:51.462996+08:00,1153.389,4694,0
mic,h1h2_edge_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_h1h2_edge_systematic_80cap,configs\mic_step5_h1h2_edge_systematic_80cap.json,0,2026-06-13T15:13:52.311441+08:00,2026-06-13T15:31:49.683355+08:00,1077.372,4554,0
train,baseline,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_baseline_seed0,configs\train_step5_baseline_seed0.json,0,2026-06-13T15:34:45.974658+08:00,2026-06-13T16:22:41.255103+08:00,2875.28,5200,0
train,h1_edge,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1_edge,configs\train_step5_h1_edge.json,0,2026-06-13T16:23:32.239233+08:00,2026-06-13T17:12:17.438520+08:00,2925.199,5256,0
train,h1_delayed_edge,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1_delayed_edge,configs\train_step5_h1_delayed_edge.json,0,2026-06-13T22:10:37.418876+08:00,2026-06-13T22:51:13.514997+08:00,2436.096,4445,0
train,h2_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h2_systematic_80cap_full,configs\train_step5_h2_systematic_80cap.json,0,2026-06-13T23:07:34.559927+08:00,2026-06-13T23:42:26.728554+08:00,2092.169,4115,0
train,h1delayed_h2_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1delayed_h2_systematic_80cap,configs\train_step5_h1delayed_h2_systematic_80cap.json,0,2026-06-13T23:50:21.227241+08:00,2026-06-14T00:25:33.555603+08:00,2112.328,4175,0
train,hardview_sampling,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_hardview_sampling,configs\train_step5_hardview_sampling.json,0,2026-06-14T09:15:07.740128+08:00,2026-06-14T09:55:01.979126+08:00,2394.239,4495,0
mic,h1_delayed_edge,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_h1_delayed_edge,configs\mic_step5_h1_delayed_edge.json,0,2026-06-14T10:07:45.496535+08:00,2026-06-14T10:24:25.203128+08:00,999.707,3869,0
mic,h2_systematic_80cap,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\mic_h2_systematic_80cap,configs\mic_step5_h2_systematic_80cap.json,0,2026-06-14T10:27:17.748132+08:00,2026-06-14T10:41:41.196134+08:00,863.448,3817,0
train,h1_mse_delayed_w005_s7000,D:\AI WORK\3dgs-mcmc-step4-improvements\output\step5\train_h1_mse_delayed_w005_s7000,configs\train_step5_h1_mse_delayed_w005_s7000.json,0,2026-06-14T11:05:33.941445+08:00,2026-06-14T11:45:55.151161+08:00,2421.21,4521,0
